layer,norm,nr_parameters,spec
lowrank_light_opt,0.010768705978989601,1680911,rank=1295
lowrank_light_opt,0.3452964723110199,1680876,rank=1290
lowrank_light_opt,7.875779151916504,1678796,rank=1250
lowrank_light_opt,44.42977523803711,1659596,rank=1150
lowrank_light_opt,113.12432098388672,1606928,rank=1024
lowrank_light_opt,308.4364013671875,1402128,rank=768
lowrank_light_opt,566.2684326171875,1066256,rank=512
lowrank_light_opt,718.3982543945312,849168,rank=384
lowrank_light_opt,887.0701293945312,599312,rank=256
lowrank_light_opt,972.5731811523438,470912,rank=196
lowrank_light_opt,1075.6016845703125,316688,rank=128
lowrank_light_opt,1126.698974609375,240912,rank=96
lowrank_light_opt,1179.8780517578125,163088,rank=64
lowrank_light_opt,1235.6907958984375,83216,rank=32
lowrank_light_opt,1264.9293212890625,42512,rank=16
lowrank_light_opt,1279.978515625,21968,rank=8
lowrank_light_opt,1287.677490234375,11648,rank=4
lowrank_light_opt,1293.537109375,3887,rank=1
"unstructured, magnitude pruned",1239.474365234375,18093,density=1%
"unstructured, magnitude pruned",970.01318359375,169258,density=10%
"unstructured, magnitude pruned",603.4014282226562,505181,density=30%
"unstructured, magnitude pruned",346.13995361328125,841105,density=50%
"unstructured, magnitude pruned",118.3575439453125,1261009,density=75%
"unstructured, magnitude pruned",66.02043151855469,1395378,density=83%
"unstructured, magnitude pruned",39.02756881713867,1479359,density=88%
"unstructured, magnitude pruned",17.364164352416992,1563340,density=93%
"unstructured, magnitude pruned",4.882120132446289,1630524,density=97%
"unstructured, magnitude pruned",0.9357293248176575,1664116,density=99%
lowrank,1293.536376953125,3888,rank=1
lowrank,1287.6768798828125,11664,rank=4
lowrank,1279.9779052734375,22032,rank=8
lowrank,1264.9287109375,42768,rank=16
lowrank,1235.68994140625,84240,rank=32
lowrank,1207.356201171875,125712,rank=48
lowrank,1179.8773193359375,167184,rank=64
lowrank,1126.6981201171875,250128,rank=96
lowrank,1075.6009521484375,333072,rank=128
lowrank,972.5723876953125,509328,rank=196
lowrank,887.0693969726562,664848,rank=256
lowrank,718.398193359375,996624,rank=384
lowrank,421.7789001464844,1680912,rank=648
lowrank-light,1293.536376953125,3887,rank=1
lowrank-light,1287.677001953125,11648,rank=4
lowrank-light,1279.9779052734375,21968,rank=8
lowrank-light,1264.932373046875,42512,rank=16
lowrank-light,1235.723388671875,83216,rank=32
lowrank-light,1179.902587890625,163088,rank=64
lowrank-light,1127.015869140625,240912,rank=96
lowrank-light,1076.7044677734375,316688,rank=128
lowrank-light,974.5347900390625,470912,rank=196
lowrank-light,888.9521484375,599312,rank=256
lowrank-light,721.4713134765625,849168,rank=384
lowrank-light,570.1531372070312,1066256,rank=512
lowrank-light,313.30303955078125,1402128,rank=768
lowrank-light,119.3564682006836,1606928,rank=1024
lowrank-light,57.001853942871094,1659596,rank=1150
lowrank-light,19.96682357788086,1678796,rank=1250
lowrank-light,7.071407318115234,1680876,rank=1290
lowrank-light,2.1077311038970947,1680911,rank=1295
monarch1,1227.98779296875,94608,nr_blocks=36
monarch1,1224.6064453125,102384,nr_blocks=24
monarch1,1218.7783203125,117936,nr_blocks=18
monarch1,1215.1820068359375,127008,nr_blocks=16
monarch1,1203.5379638671875,156816,nr_blocks=12
monarch1,1177.9456787109375,221616,nr_blocks=8
monarch1,1150.6636962890625,289008,nr_blocks=6
monarch1,1092.560791015625,426384,nr_blocks=4
monarch1,1030.989990234375,565056,nr_blocks=3
monarch1,893.0462036132812,843696,nr_blocks=2
monarch2,1227.98779296875,94608,nr_blocks=36
monarch2,1224.815673828125,102384,nr_blocks=54
monarch2,1218.7725830078125,117936,nr_blocks=72
monarch2,1215.10498046875,127008,nr_blocks=81
monarch2,1203.7823486328125,156816,nr_blocks=108
monarch2,1177.9317626953125,221616,nr_blocks=162
monarch2,1150.52880859375,289008,nr_blocks=216
monarch2,1092.9434814453125,426384,nr_blocks=324
monarch2,1030.7586669921875,565056,nr_blocks=432
monarch2,893.1741943359375,843696,nr_blocks=648
kronecker1,1293.7779541015625,3888,d=36
kronecker1,1285.1353759765625,27604,d=8
kronecker1,1123.3714599609375,421204,d=2
kronecker2,1292.3480224609375,8113,d=81
kronecker2,1277.0382080078125,47988,d=216
kronecker2,1124.2984619140625,421204,d=648
TT-2,1293.7030029296875,3888,"2 cores, rank=1"
TT-2,1266.04931640625,42768,"2 cores, rank=16"
TT-2,1181.996826171875,167184,"2 cores, rank=64"
TT-2,1077.7618408203125,333072,"2 cores, rank=128"
TT-2,888.7130126953125,664848,"2 cores, rank=256"
TT-2,422.8130798339844,1680912,"2 cores, rank=648"
BTT-2,1227.98779296875,94608,"2 cores, rank=1"
BTT-2,1165.2135009765625,187920,"2 cores, rank=2"
BTT-2,1105.675048828125,281232,"2 cores, rank=3"
BTT-2,1048.642822265625,374544,"2 cores, rank=4"
BTT-2,993.7528076171875,467856,"2 cores, rank=5"
BTT-2,940.7437133789062,561168,"2 cores, rank=6"
BTT-2,889.5409545898438,654480,"2 cores, rank=7"
BTT-2,839.9107666015625,747792,"2 cores, rank=8"
BTT-2,791.7496337890625,841104,"2 cores, rank=9"
BTT-2,745.0928955078125,934416,"2 cores, rank=10"
BTT-2,699.7496948242188,1027728,"2 cores, rank=11"
BTT-2,655.7089233398438,1121040,"2 cores, rank=12"
BTT-2,612.9005737304688,1214352,"2 cores, rank=13"
BTT-2,571.3678588867188,1307664,"2 cores, rank=14"
BTT-2,531.1070556640625,1400976,"2 cores, rank=15"
BTT-2,492.0215759277344,1494288,"2 cores, rank=16"
BTT-2,454.09918212890625,1587600,"2 cores, rank=17"
BTT-2,417.4206848144531,1680912,"2 cores, rank=18"
blast4x4,1262.8565673828125,43024,"nr_blocks=4, rank=16"
blast4x4,1164.9290771484375,168208,"nr_blocks=4, rank=64"
blast4x4,776.5680541992188,668944,"nr_blocks=4, rank=256"
blast4x4,71.3136978149414,1680848,"nr_blocks=4, rank=644"
