layer,norm,nr_parameters,spec
"unstructured, magnitude pruned",345.3803405761719,1823,density=1%
"unstructured, magnitude pruned",270.1516418457031,13620,density=10%
"unstructured, magnitude pruned",168.00697326660156,39834,density=30%
"unstructured, magnitude pruned",96.27253723144531,66049,density=50%
"unstructured, magnitude pruned",33.02061080932617,98817,density=75%
"unstructured, magnitude pruned",18.511730194091797,109302,density=83%
"unstructured, magnitude pruned",10.955731391906738,115856,density=88%
"unstructured, magnitude pruned",4.855546951293945,122409,density=93%
"unstructured, magnitude pruned",1.351999282836914,127652,density=97%
"unstructured, magnitude pruned",0.2608914375305176,130274,density=99%
lowrank,353.3899230957031,3584,rank=4
lowrank,345.8035888671875,6656,rank=8
lowrank,331.2490539550781,12800,rank=16
lowrank,303.7539978027344,25088,rank=32
lowrank,278.1578674316406,37376,rank=48
lowrank,253.77122497558594,49664,rank=64
lowrank,208.0598907470703,74240,rank=96
lowrank,165.8930206298828,98816,rank=128
lowrank_light,359.27545166015625,1279,rank=1
lowrank_light,353.3945007324219,3568,rank=4
lowrank_light,345.80743408203125,6592,rank=8
lowrank_light,332.28564453125,12544,rank=16
lowrank_light,305.5841979980469,24064,rank=32
lowrank_light,256.0974426269531,45568,rank=64
lowrank_light,169.4427032470703,82432,rank=128
lowrank_light,130.4840087890625,97792,rank=160
lowrank_light,92.58255004882812,111104,rank=192
lowrank_light,56.13029861450195,122368,rank=224
lowrank_light,17.15633773803711,131327,rank=255
