layer,norm,nr_parameters,spec
"unstructured, magnitude pruned",1241.7152099609375,18093,density=1%
"unstructured, magnitude pruned",971.7265014648438,169258,density=10%
"unstructured, magnitude pruned",604.1971435546875,505181,density=30%
"unstructured, magnitude pruned",346.8265686035156,841105,density=50%
"unstructured, magnitude pruned",118.73844146728516,1261009,density=75%
"unstructured, magnitude pruned",66.27242279052734,1395378,density=83%
"unstructured, magnitude pruned",39.189517974853516,1479359,density=88%
"unstructured, magnitude pruned",17.400896072387695,1563339,density=93%
"unstructured, magnitude pruned",4.870601177215576,1630524,density=97%
"unstructured, magnitude pruned",0.9431011080741882,1664117,density=99%
lowrank,1295.7291259765625,3888,rank=1
lowrank,1289.853515625,11664,rank=4
lowrank,1282.156494140625,22032,rank=8
lowrank,1267.0670166015625,42768,rank=16
lowrank,1237.9888916015625,84240,rank=32
lowrank,1209.782470703125,125712,rank=48
lowrank,1182.2939453125,167184,rank=64
lowrank,1129.1688232421875,250128,rank=96
lowrank,1077.9932861328125,333072,rank=128
lowrank,974.8446655273438,509328,rank=196
lowrank,889.2221069335938,664848,rank=256
lowrank,720.5901489257812,996624,rank=384
lowrank,423.4988098144531,1680912,rank=648
lowrank-light,1295.7291259765625,3887,rank=1
lowrank-light,1289.8536376953125,11648,rank=4
lowrank-light,1282.156494140625,21968,rank=8
lowrank-light,1267.067626953125,42512,rank=16
lowrank-light,1237.9979248046875,83216,rank=32
lowrank-light,1182.3682861328125,163088,rank=64
lowrank-light,1130.5838623046875,240912,rank=96
lowrank-light,1079.707763671875,316688,rank=128
lowrank-light,976.5440063476562,470912,rank=196
lowrank-light,891.2886962890625,599312,rank=256
lowrank-light,723.9705810546875,849168,rank=384
lowrank-light,572.50634765625,1066256,rank=512
lowrank-light,315.02740478515625,1402128,rank=768
lowrank-light,122.28900909423828,1606928,rank=1024
lowrank-light,59.194515228271484,1659596,rank=1150
lowrank-light,22.2898006439209,1678796,rank=1250
lowrank-light,7.518723964691162,1680876,rank=1290
lowrank-light,2.302668571472168,1680911,rank=1295
monarch,1229.782958984375,94608,nr_blocks=36
monarch,1226.5408935546875,102384,nr_blocks=24
monarch,1220.7030029296875,117936,nr_blocks=18
monarch,1217.0701904296875,127008,nr_blocks=16
monarch,1205.458740234375,156816,nr_blocks=12
monarch,1180.0152587890625,221616,nr_blocks=8
monarch,1152.755615234375,289008,nr_blocks=6
monarch,1094.6558837890625,426384,nr_blocks=4
monarch,1032.7877197265625,565056,nr_blocks=3
monarch,894.67431640625,843696,nr_blocks=2
kronecker,1295.99609375,3888,d=36
kronecker,1287.2435302734375,27604,d=8
kronecker,1124.4573974609375,421204,d=2
TT-2,1295.881591796875,3888,"2 cores, rank=1"
TT-2,1268.14794921875,42768,"2 cores, rank=16"
TT-2,1183.5106201171875,167184,"2 cores, rank=64"
TT-2,1078.995361328125,333072,"2 cores, rank=128"
TT-2,889.7308959960938,664848,"2 cores, rank=256"
TT-2,422.9271545410156,1680912,"2 cores, rank=648"
BTT-2,1229.782958984375,94608,"2 cores, rank=1"
BTT-2,1166.7310791015625,187920,"2 cores, rank=2"
BTT-2,1106.90966796875,281232,"2 cores, rank=3"
BTT-2,1049.7452392578125,374544,"2 cores, rank=4"
BTT-2,994.77099609375,467856,"2 cores, rank=5"
BTT-2,941.6786499023438,561168,"2 cores, rank=6"
BTT-2,890.4231567382812,654480,"2 cores, rank=7"
BTT-2,840.7086181640625,747792,"2 cores, rank=8"
BTT-2,792.5784912109375,841104,"2 cores, rank=9"
BTT-2,745.858154296875,934416,"2 cores, rank=10"
BTT-2,700.3890991210938,1027728,"2 cores, rank=11"
BTT-2,656.3502197265625,1121040,"2 cores, rank=12"
BTT-2,613.625732421875,1214352,"2 cores, rank=13"
BTT-2,572.1675415039062,1307664,"2 cores, rank=14"
BTT-2,531.8427734375,1400976,"2 cores, rank=15"
BTT-2,492.63916015625,1494288,"2 cores, rank=16"
BTT-2,454.65435791015625,1587600,"2 cores, rank=17"
BTT-2,417.8589782714844,1680912,"2 cores, rank=18"
blast4x4,1264.9482421875,43024,"nr_blocks=4, rank=16"
blast4x4,1167.1138916015625,168208,"nr_blocks=4, rank=64"
blast4x4,778.1002807617188,668944,"nr_blocks=4, rank=256"
blast4x4,71.43167877197266,1680848,"nr_blocks=4, rank=644"
blast8x8,1262.5712890625,43792,"nr_blocks=8, rank=16"
blast8x8,1158.263671875,171280,"nr_blocks=8, rank=64"
blast8x8,742.837646484375,681232,"nr_blocks=8, rank=256"
blast8x8,44.762062072753906,1679888,"nr_blocks=8, rank=632"
blast12x12,1259.9056396484375,45072,"nr_blocks=12, rank=16"
blast12x12,1147.8037109375,176400,"nr_blocks=12, rank=64"
blast12x12,707.89208984375,701712,"nr_blocks=12, rank=256"
blast12x12,36.51366424560547,1678464,"nr_blocks=12, rank=613"
