layer,op_norm,nr_parameters
"unstructured, magnitude pruned",489.6721496582031,2878
"unstructured, magnitude pruned",383.2420349121094,26471
"unstructured, magnitude pruned",238.08177185058594,78900
"unstructured, magnitude pruned",136.54086303710938,131329
"unstructured, magnitude pruned",46.48794937133789,196865
"unstructured, magnitude pruned",25.884233474731445,217836
"unstructured, magnitude pruned",15.283430099487305,230943
"unstructured, magnitude pruned",6.750064849853516,244050
"unstructured, magnitude pruned",1.8934078216552734,254536
"unstructured, magnitude pruned",0.36342665553092957,259779
lowrank,502.8730773925781,5376
lowrank,494.3569030761719,10496
lowrank,477.8974609375,20736
lowrank,446.6094055175781,41216
lowrank,416.5201721191406,61696
lowrank,387.2572937011719,82176
lowrank,330.8052062988281,123136
lowrank,276.12591552734375,164096
lowrank_light,509.4757995605469,1535
lowrank_light,502.8730773925781,5360
lowrank_light,494.3569030761719,10432
lowrank_light,477.8974609375,20480
lowrank_light,446.609375,40192
lowrank_light,387.2572937011719,78080
lowrank_light,276.1258239746094,147712
lowrank_light,221.73016357421875,179456
lowrank_light,166.43594360351562,209152
lowrank_light,106.4107894897461,236800
lowrank_light,15.986169815063477,261631
blast8x8,430.4138488769531,43264
blast8x8,269.27972412109375,129280
blast8x8,209.83319091796875,161536
