layer,norm,nr_parameters,spec
"unstructured, magnitude pruned",244.96090698242188,912,density=1%
"unstructured, magnitude pruned",191.7933349609375,6810,density=10%
"unstructured, magnitude pruned",118.71977233886719,19917,density=30%
"unstructured, magnitude pruned",68.09370422363281,33025,density=50%
"unstructured, magnitude pruned",23.374420166015625,49409,density=75%
"unstructured, magnitude pruned",12.946864128112793,54651,density=83%
"unstructured, magnitude pruned",7.587733745574951,57928,density=88%
"unstructured, magnitude pruned",3.3631045818328857,61205,density=93%
"unstructured, magnitude pruned",0.9377390742301941,63826,density=97%
"unstructured, magnitude pruned",0.17844384908676147,65137,density=99%
lowrank,248.2427215576172,2304,rank=4
lowrank,240.94882202148438,4352,rank=8
lowrank,227.0865020751953,8448,rank=16
lowrank,201.847900390625,16640,rank=32
lowrank,178.52731323242188,24832,rank=48
lowrank,156.76197814941406,33024,rank=64
lowrank,117.3958511352539,49408,rank=96
lowrank,83.1844482421875,65792,rank=128
lowrank_light,253.96229553222656,767,rank=1
lowrank_light,248.2433319091797,2288,rank=4
lowrank_light,241.00697326660156,4288,rank=8
lowrank_light,228.3004913330078,8192,rank=16
lowrank_light,202.43763732910156,15616,rank=32
lowrank_light,159.77996826171875,28928,rank=64
lowrank_light,87.06903076171875,49408,rank=128
lowrank_light,58.6451530456543,56576,rank=160
lowrank_light,35.10923767089844,61696,rank=192
lowrank_light,17.121150970458984,64768,rank=224
lowrank_light,1.2882366180419922,65791,rank=255
