layer,norm,nr_parameters,spec
Kronecker,1293.5791015625,3888,d=36
Kronecker,1293.24365234375,4788,d=24
Kronecker,1292.4864501953125,6804,d=18
Kronecker,1290.0618896484375,13104,d=12
Kronecker,1284.5400390625,27604,d=8
Kronecker,1254.0369873046875,106288,d=4
Kronecker,1122.126708984375,421204,d=2
Monarch,1227.779052734375,94608,nr_blocks=36
Monarch,1226.184814453125,98496,nr_blocks=27
Monarch,1224.4862060546875,102384,nr_blocks=24
Monarch,1219.095703125,117936,nr_blocks=18
Monarch,1215.044921875,127008,nr_blocks=16
Monarch,1203.6722412109375,156816,nr_blocks=12
Monarch,1186.7532958984375,199584,nr_blocks=9
Monarch,1177.9779052734375,221616,nr_blocks=8
Monarch,1150.517333984375,289008,nr_blocks=6
Monarch,1092.5732421875,426384,nr_blocks=4
Monarch,1030.980224609375,565056,nr_blocks=3
Monarch,893.1065673828125,843696,nr_blocks=2
TT-2,1293.5657958984375,3888,"2 cores, rank=1"
TT-2,1264.9017333984375,42768,"2 cores, rank=16"
TT-2,1180.1116943359375,167184,"2 cores, rank=64"
TT-2,1075.72802734375,333072,"2 cores, rank=128"
TT-2,887.10888671875,664848,"2 cores, rank=256"
TT-2,603.280029296875,1245456,"2 cores, rank=480"
TT-2,422.3429870605469,1680912,"2 cores, rank=648"
Low-Rank,1293.5562744140625,3888,rank=1
Low-Rank,1287.680908203125,11664,rank=4
Low-Rank,1280.0050048828125,22032,rank=8
Low-Rank,1264.9779052734375,42768,rank=16
Low-Rank,1235.850341796875,84240,rank=32
Low-Rank,1207.7000732421875,125712,rank=48
Low-Rank,1180.3255615234375,167184,rank=64
Low-Rank,1127.361572265625,250128,rank=96
Low-Rank,1076.317626953125,333072,rank=128
Low-Rank,973.2682495117188,509328,rank=196
Low-Rank,887.5830688476562,664848,rank=256
Low-Rank,718.90869140625,996624,rank=384
Low-Rank,422.1956787109375,1680912,rank=648
BTT-2,1227.779052734375,94608,"2 cores, rank=1"
BTT-2,1165.0177001953125,187920,"2 cores, rank=2"
BTT-2,1105.4271240234375,281232,"2 cores, rank=3"
BTT-2,1048.3697509765625,374544,"2 cores, rank=4"
BTT-2,993.4708251953125,467856,"2 cores, rank=5"
BTT-2,940.5252685546875,561168,"2 cores, rank=6"
BTT-2,889.3412475585938,654480,"2 cores, rank=7"
BTT-2,839.7977905273438,747792,"2 cores, rank=8"
BTT-2,791.7819213867188,841104,"2 cores, rank=9"
BTT-2,745.0902099609375,934416,"2 cores, rank=10"
BTT-2,699.7188720703125,1027728,"2 cores, rank=11"
BTT-2,655.726806640625,1121040,"2 cores, rank=12"
BTT-2,613.0174560546875,1214352,"2 cores, rank=13"
BTT-2,571.4638671875,1307664,"2 cores, rank=14"
BTT-2,531.1448364257812,1400976,"2 cores, rank=15"
BTT-2,492.0027770996094,1494288,"2 cores, rank=16"
BTT-2,454.0837097167969,1587600,"2 cores, rank=17"
BTT-2,417.3341369628906,1680912,"2 cores, rank=18"
"Low-Rank Light",1293.5562744140625,3887,rank=1
"Low-Rank Light",1287.680908203125,11648,rank=4
"Low-Rank Light",1280.0050048828125,21968,rank=8
"Low-Rank Light",1264.978515625,42512,rank=16
"Low-Rank Light",1235.861328125,83216,rank=32
"Low-Rank Light",1182.2177734375,163088,rank=64
"Low-Rank Light",1127.3900146484375,240912,rank=96
"Low-Rank Light",1078.2669677734375,316688,rank=128
"Low-Rank Light",974.708984375,470912,rank=196
"Low-Rank Light",888.4093017578125,599312,rank=256
"Low-Rank Light",721.9375610351562,849168,rank=384
"Low-Rank Light",570.0358276367188,1066256,rank=512
"Low-Rank Light",315.45379638671875,1402128,rank=768
"Low-Rank Light",122.76543426513672,1606928,rank=1024
"Low-Rank Light",56.83583450317383,1659596,rank=1150
"Low-Rank Light",20.064712524414062,1678796,rank=1250
"Low-Rank Light",7.034403324127197,1680876,rank=1290
"Low-Rank Light",1.5384055376052856,1680911,rank=1295
"BLAST 4x4",1262.87255859375,43024,"nr_blocks=4, rank=16"
"BLAST 4x4",1165.1602783203125,168208,"nr_blocks=4, rank=64"
"BLAST 4x4",776.0025634765625,668944,"nr_blocks=4, rank=256"
"BLAST 4x4",71.66512298583984,1680848,"nr_blocks=4, rank=644"
"BLAST 12x12",1257.7841796875,45072,"nr_blocks=12, rank=16"
"BLAST 12x12",1145.726318359375,176400,"nr_blocks=12, rank=64"
"BLAST 12x12",706.9429931640625,701712,"nr_blocks=12, rank=256"
"BLAST 12x12",229.1229705810547,1314576,"nr_blocks=12, rank=480"
"BLAST 12x12",36.33259582519531,1678464,"nr_blocks=12, rank=613"
Unstructured,1239.52783203125,18094,density=1%
Unstructured,969.9091186523438,169258,density=10%
Unstructured,603.0723876953125,505181,density=30%
Unstructured,346.1285400390625,841105,density=50%
Unstructured,118.63790130615234,1261009,density=75%
Unstructured,66.25692749023438,1395378,density=83%
Unstructured,39.213905334472656,1479359,density=88%
Unstructured,17.449975967407227,1563339,density=93%
Unstructured,4.904049396514893,1630524,density=97%
Unstructured,0.9446779489517212,1664116,density=99%
