layer,op_norm,nr_parameters
"unstructured, magnitude pruned",488.30975341796875,3646
"unstructured, magnitude pruned",382.5655212402344,27239
"unstructured, magnitude pruned",238.25616455078125,79668
"unstructured, magnitude pruned",136.96717834472656,132097
"unstructured, magnitude pruned",46.91804122924805,197633
"unstructured, magnitude pruned",26.136014938354492,218604
"unstructured, magnitude pruned",15.465059280395508,231711
"unstructured, magnitude pruned",6.903525352478027,244818
"unstructured, magnitude pruned",1.925101399421692,255304
"unstructured, magnitude pruned",0.37197625637054443,260547
lowrank,501.7077941894531,6144
lowrank,493.2688903808594,11264
lowrank,476.9259338378906,21504
lowrank,445.7792663574219,41984
lowrank,415.8158264160156,62464
lowrank,386.6982116699219,82944
lowrank,330.1949462890625,123904
lowrank,275.2939453125,164864
lowrank_light,508.1969909667969,2303
lowrank_light,501.7077941894531,6128
lowrank_light,493.2688903808594,11200
lowrank_light,476.9259338378906,21248
lowrank_light,445.7792663574219,40960
lowrank_light,386.69818115234375,78848
lowrank_light,275.2939453125,148480
lowrank_light,220.9818878173828,180224
lowrank_light,165.78916931152344,209920
lowrank_light,106.0749740600586,237568
lowrank_light,15.606287956237793,262399
blast8x8,431.4565734863281,44032
blast8x8,272.07373046875,130048
blast8x8,214.33981323242188,162304
