layer,op_norm,nr_parameters
"unstructured, magnitude pruned density=1%",348.0989685058594,1823
"unstructured, magnitude pruned density=10%",272.3531494140625,13620
"unstructured, magnitude pruned density=30%",169.31063842773438,39834
"unstructured, magnitude pruned density=50%",96.87977600097656,66049
"unstructured, magnitude pruned density=75%",33.07440948486328,98817
"unstructured, magnitude pruned density=83%",18.407306671142578,109302
"unstructured, magnitude pruned density=88%",10.884251594543457,115856
"unstructured, magnitude pruned density=93%",4.835244178771973,122409
"unstructured, magnitude pruned density=97%",1.3602733612060547,127652
"unstructured, magnitude pruned density=99%",0.26813164353370667,130274
lowrank rank=4,355.5903625488281,3584
lowrank rank=8,348.0335998535156,6656
lowrank rank=16,333.5506896972656,12800
lowrank rank=32,306.0014953613281,25088
lowrank rank=48,280.1853942871094,37376
lowrank rank=64,255.3873291015625,49664
lowrank rank=96,209.16493225097656,74240
lowrank rank=128,166.27947998046875,98816
lowrank_light rank=1,361.552001953125,1279
lowrank_light rank=4,357.39190673828125,3568
lowrank_light rank=8,350.06011962890625,6592
lowrank_light rank=16,334.154052734375,12544
lowrank_light rank=32,307.8564147949219,24064
lowrank_light rank=64,256.56146240234375,45568
lowrank_light rank=128,168.86712646484375,82432
lowrank_light rank=160,131.9969940185547,97792
lowrank_light rank=192,94.00590515136719,111104
lowrank_light rank=224,60.20094680786133,122368
lowrank_light rank=255,9.36666202545166,131327
