layer,norm,nr_parameters,spec
lowrank_light_opt,0.0114743048325181,1680911
lowrank_light_opt,0.3381808400154114,1680876
lowrank_light_opt,7.948307514190674,1678796
lowrank_light_opt,44.14437484741211,1659596
lowrank_light_opt,112.95256042480469,1606928
lowrank_light_opt,308.42694091796875,1402128
lowrank_light_opt,566.5814208984375,1066256
lowrank_light_opt,718.6154174804688,849168
lowrank_light_opt,887.3866577148438,599312
lowrank_light_opt,973.0142822265625,470912
lowrank_light_opt,1076.3106689453125,316688
lowrank_light_opt,1127.5521240234375,240912
lowrank_light_opt,1180.7933349609375,163088
lowrank_light_opt,1236.54541015625,83216
lowrank_light_opt,1265.772705078125,42512
lowrank_light_opt,1280.8096923828125,21968
lowrank_light_opt,1288.490478515625,11648
lowrank_light_opt,1294.3951416015625,3887
"unstructured, magnitude pruned",1240.50732421875,18093,density=1%
"unstructured, magnitude pruned",970.9287719726562,169258,density=10%
"unstructured, magnitude pruned",603.5248413085938,505181,density=30%
"unstructured, magnitude pruned",346.21624755859375,841105,density=50%
"unstructured, magnitude pruned",118.2771224975586,1261009,density=75%
"unstructured, magnitude pruned",65.94700622558594,1395378,density=83%
"unstructured, magnitude pruned",39.03252410888672,1479359,density=88%
"unstructured, magnitude pruned",17.33406639099121,1563339,density=93%
"unstructured, magnitude pruned",4.850155353546143,1630524,density=97%
"unstructured, magnitude pruned",0.9250776171684265,1664116,density=99%
lowrank,1294.3944091796875,3888,rank=1
lowrank,1288.48974609375,11664,rank=4
lowrank,1280.808837890625,22032,rank=8
lowrank,1265.7718505859375,42768,rank=16
lowrank,1236.544677734375,84240,rank=32
lowrank,1208.2576904296875,125712,rank=48
lowrank,1180.7926025390625,167184,rank=64
lowrank,1127.551513671875,250128,rank=96
lowrank,1076.31005859375,333072,rank=128
lowrank,973.0138549804688,509328,rank=196
lowrank,887.386474609375,664848,rank=256
lowrank,718.6149291992188,996624,rank=384
lowrank,421.8876953125,1680912,rank=648
lowrank-light,1294.3944091796875,3887,rank=1
lowrank-light,1288.49755859375,11648,rank=4
lowrank-light,1281.0323486328125,21968,rank=8
lowrank-light,1266.606689453125,42512,rank=16
lowrank-light,1239.0255126953125,83216,rank=32
lowrank-light,1184.4713134765625,163088,rank=64
lowrank-light,1133.4281005859375,240912,rank=96
lowrank-light,1083.2689208984375,316688,rank=128
lowrank-light,982.614501953125,470912,rank=196
lowrank-light,899.2904663085938,599312,rank=256
lowrank-light,737.1969604492188,849168,rank=384
lowrank-light,590.9081420898438,1066256,rank=512
lowrank-light,344.701171875,1402128,rank=768
lowrank-light,162.92886352539062,1606928,rank=1024
lowrank-light,98.78001403808594,1659596,rank=1150
lowrank-light,48.51797103881836,1678796,rank=1250
lowrank-light,15.535743713378906,1680876,rank=1290
lowrank-light,6.594396591186523,1680911,rank=1295
monarch1,1228.4381103515625,94608,nr_blocks=36
monarch1,1225.6162109375,102384,nr_blocks=24
monarch1,1219.4644775390625,117936,nr_blocks=18
monarch1,1215.7652587890625,127008,nr_blocks=16
monarch1,1204.2728271484375,156816,nr_blocks=12
monarch1,1178.7569580078125,221616,nr_blocks=8
monarch1,1151.5235595703125,289008,nr_blocks=6
monarch1,1093.2548828125,426384,nr_blocks=4
monarch1,1031.442626953125,565056,nr_blocks=3
monarch1,893.8362426757812,843696,nr_blocks=2
monarch2,1228.4381103515625,94608,nr_blocks=36
