layer,norm,nr_parameters,spec
lowrank_light_opt,0.014400992542505264,1680911,rank=1295
lowrank_light_opt,0.25832104682922363,1680876,rank=1290
lowrank_light_opt,7.88086462020874,1678796,rank=1250
lowrank_light_opt,44.3361930847168,1659596,rank=1150
lowrank_light_opt,113.33830261230469,1606928,rank=1024
lowrank_light_opt,308.6863708496094,1402128,rank=768
lowrank_light_opt,566.7138061523438,1066256,rank=512
lowrank_light_opt,718.710205078125,849168,rank=384
lowrank_light_opt,887.5932006835938,599312,rank=256
lowrank_light_opt,973.0545043945312,470912,rank=196
lowrank_light_opt,1076.00439453125,316688,rank=128
lowrank_light_opt,1127.1768798828125,240912,rank=96
lowrank_light_opt,1180.2152099609375,163088,rank=64
lowrank_light_opt,1235.90234375,83216,rank=32
lowrank_light_opt,1265.091796875,42512,rank=16
lowrank_light_opt,1280.1319580078125,21968,rank=8
lowrank_light_opt,1287.799560546875,11648,rank=4
lowrank_light_opt,1293.6455078125,3887,rank=1
blast4x4,1262.9371337890625,43024,"nr_blocks=4, rank=16"
blast4x4,1165.3978271484375,168208,"nr_blocks=4, rank=64"
blast4x4,776.0108642578125,668944,"nr_blocks=4, rank=256"
blast4x4,71.17861938476562,1680848,"nr_blocks=4, rank=644"
