layer,op_norm,nr_parameters
"unstructured, magnitude pruned",489.8352355957031,3646
"unstructured, magnitude pruned",383.6066589355469,27239
"unstructured, magnitude pruned",238.49618530273438,79668
"unstructured, magnitude pruned",136.9349365234375,132097
"unstructured, magnitude pruned",46.743263244628906,197633
"unstructured, magnitude pruned",26.046171188354492,218604
"unstructured, magnitude pruned",15.399645805358887,231711
"unstructured, magnitude pruned",6.856220722198486,244818
"unstructured, magnitude pruned",1.9250638484954834,255304
"unstructured, magnitude pruned",0.3681489825248718,260547
lowrank,503.1419677734375,6144
lowrank,494.7420349121094,11264
lowrank,478.3207702636719,21504
lowrank,447.01812744140625,41984
lowrank,416.97369384765625,62464
lowrank,387.7930603027344,82944
lowrank,331.2926940917969,123904
lowrank,276.7255554199219,164864
lowrank_light,509.5633544921875,2303
lowrank_light,503.1419677734375,6128
lowrank_light,494.74200439453125,11200
lowrank_light,478.3207702636719,21248
lowrank_light,447.0181884765625,40960
lowrank_light,387.7930603027344,78848
lowrank_light,276.7255554199219,148480
lowrank_light,222.57174682617188,180224
lowrank_light,167.16307067871094,209920
lowrank_light,107.0180435180664,237568
lowrank_light,16.31676483154297,262399
blast8x8,413.676025390625,50176
blast8x8,215.63572692871094,148480
blast8x8,140.95761108398438,185344
