layer,kwargs,model,width,depth,lr,bs,max_epochs,wdecay,init_scale,dropout,measurement_id,dataset,lr_decay,early_stop,max_bs,nr_runs,done,nr_parameters,best_train,best_test,epoch_of_best_train,epoch_of_best_test
monarch,"(nr_blocks = 2,)",gpt2,0,0,0.0001,8,25,0.0,1.0,0.2,1,wikitext2,true,true,4,1,true,103399680,46.10212326049805,148.75820922851562,21,10
monarch,"(nr_blocks = 2,)",gpt2,0,0,0.0001,8,25,0.01,1.0,0.2,2,wikitext2,true,true,4,1,true,103399680,46.27608108520508,149.11143493652344,21,10
monarch,"(nr_blocks = 2,)",gpt2,0,0,6.0e-5,8,25,0.0,1.0,0.2,3,wikitext2,true,true,4,1,true,103399680,61.189857482910156,152.6253204345703,21,19
monarch,"(nr_blocks = 2,)",gpt2,0,0,6.0e-5,8,25,0.01,1.0,0.2,4,wikitext2,true,true,4,1,true,103399680,62.4868278503418,152.09854125976562,21,24
monarch,"(nr_blocks = 4,)",gpt2,0,0,0.0001,8,25,0.0,1.0,0.2,5,wikitext2,true,true,4,1,true,61070592,55.09489822387695,159.4049835205078,21,15
monarch,"(nr_blocks = 4,)",gpt2,0,0,0.0001,8,25,0.01,1.0,0.2,6,wikitext2,true,true,4,1,true,61070592,55.223331451416016,159.4184112548828,21,15
monarch,"(nr_blocks = 4,)",gpt2,0,0,6.0e-5,8,25,0.0,1.0,0.2,7,wikitext2,true,true,4,1,true,61070592,75.53787994384766,166.4737548828125,21,20
monarch,"(nr_blocks = 4,)",gpt2,0,0,6.0e-5,8,25,0.01,1.0,0.2,8,wikitext2,true,true,4,1,true,61070592,75.29296875,166.33929443359375,21,20
monarch,"(nr_blocks = 2,)",gpt2,0,0,0.0001,8,30,0.0,1.0,0.2,9,wikitext2,true,true,4,1,true,82138368,37.55030822753906,141.5462188720703,31,12
monarch,"(nr_blocks = 2,)",gpt2,0,0,0.0001,8,30,0.01,1.0,0.2,10,wikitext2,true,true,4,1,true,82138368,36.21568298339844,132.71156311035156,31,10
monarch,"(nr_blocks = 2,)",gpt2,0,0,1.0e-5,8,30,0.0,1.0,0.2,11,wikitext2,true,true,4,1,true,82138368,119.41835021972656,167.6681365966797,31,31
monarch,"(nr_blocks = 2,)",gpt2,0,0,1.0e-5,8,30,0.01,1.0,0.2,12,wikitext2,true,true,4,1,true,82138368,119.2409439086914,167.42645263671875,31,30
monarch,"(nr_blocks = 4,)",gpt2,0,0,0.0001,8,30,0.0,1.0,0.2,13,wikitext2,true,true,4,1,true,61070592,48.45073318481445,157.68035888671875,31,15
monarch,"(nr_blocks = 4,)",gpt2,0,0,0.0001,8,30,0.01,1.0,0.2,14,wikitext2,true,true,4,1,true,61070592,48.80874252319336,160.8284912109375,31,16
monarch,"(nr_blocks = 4,)",gpt2,0,0,1.0e-5,8,30,0.0,1.0,0.2,15,wikitext2,true,true,4,1,true,61070592,199.54559326171875,263.84393310546875,31,30
monarch,"(nr_blocks = 4,)",gpt2,0,0,1.0e-5,8,30,0.01,1.0,0.2,16,wikitext2,true,true,4,1,true,61070592,199.2084503173828,263.5619201660156,31,31
