layer,kwargs,model,width,depth,lr,bs,max_epochs,wdecay,init_scale,dropout,measurement_id,dataset,lr_decay,early_stop,max_bs,nr_runs,done,nr_parameters,best_train,best_test,epoch_of_best_train,epoch_of_best_test
dense,NamedTuple(),mlp,466,0,0.0003,100000,500,0.0,1.0,0.0,90,simple,true,false,50000,1,true,3266,0.659000039100647,0.6974999904632568,202,137
dense,NamedTuple(),mlp,482,0,0.0008,100000,500,0.0,1.0,0.0,91,simple,true,false,50000,1,true,3378,0.8040000200271606,0.8075000047683716,432,385
dense,NamedTuple(),mlp,482,0,0.0005,100000,500,0.0,1.0,0.0,92,simple,true,false,50000,1,true,3378,0.7390000224113464,0.762499988079071,341,406
dense,NamedTuple(),mlp,482,0,0.0003,100000,500,0.0,1.0,0.0,93,simple,true,false,50000,1,true,3378,0.6440000534057617,0.6624999642372131,48,196
dense,NamedTuple(),mlp,498,0,0.0008,100000,500,0.0,1.0,0.0,94,simple,true,false,50000,1,true,3490,0.8190000653266907,0.8075000047683716,396,417
dense,NamedTuple(),mlp,498,0,0.0005,100000,500,0.0,1.0,0.0,95,simple,true,false,50000,1,true,3490,0.7300000190734863,0.7475000023841858,324,409
dense,NamedTuple(),mlp,498,0,0.0003,100000,500,0.0,1.0,0.0,96,simple,true,false,50000,1,true,3490,0.6340000033378601,0.6674999594688416,196,200
dense,NamedTuple(),mlp,514,0,0.0008,100000,500,0.0,1.0,0.0,97,simple,true,false,50000,1,true,3602,0.8140000104904175,0.8125,345,411
dense,NamedTuple(),mlp,514,0,0.0005,100000,500,0.0,1.0,0.0,98,simple,true,false,50000,1,true,3602,0.753000020980835,0.7724999785423279,345,440
dense,NamedTuple(),mlp,514,0,0.0003,100000,500,0.0,1.0,0.0,99,simple,true,false,50000,1,true,3602,0.7020000219345093,0.737500011920929,389,400
