run_id,train_loss,test_loss,train_acc,test_acc,time
1,0,8.847232818603516,1000,6947.87548828125,0
1,6.153030994983292,5.449469089508057,1000,232.8871307373047,156.5127251148224
1,5.224192280454684,5.005424976348877,1000,149.41571044921875,313.8496108055115
1,4.887887339099813,4.782708168029785,1000,119.57173919677734,471.24765515327454
1,4.667253088426671,4.67514705657959,1000,107.36868286132812,628.6834762096405
1,4.52699798738896,4.614115238189697,1000,101.00151062011719,786.1308352947235
1,4.440350053274087,4.583935737609863,1000,97.99407958984375,943.6300928592682
1,4.383616007725801,4.571880340576172,1000,96.81611633300781,1101.1581740379333
1,4.350712762467954,4.566891193389893,1000,96.33222198486328,1258.5818781852722
1,4.333753250577123,4.562481880187988,1000,95.90678405761719,1416.0478782653809
1,4.327303565698227,4.561871528625488,89.80667877197266,95.84864044189453,1684.0439591407776
